~id,~label,name:String,street:String,address:String 
Amazon,Merchant,Amazon,'2626 Wilkinson Court','San Bernardino CA 92410'
Abercrombie,Merchant,Abercrombie,'4355 Walnut Street','San Bernardino CA 92410'
Wallmart,Merchant,Wallmart,'2092 Larry Street','San Bernardino CA 92410'
MacDonalds,Merchant,MacDonalds,'1870 Caynor Circle','San Bernardino CA 92410'
American_Apparel,Merchant,American_Apparel,'1381 Spruce Drive','San Bernardino CA 92410'
Just_Brew_It,Merchant,Just_Brew_It,'826 Anmoore Road','San Bernardino CA 92410'
Justice,Merchant,Justice,'1925 Spring Street','San Bernardino CA 92410'
Sears,Merchant,Sears,'4209 Elsie Drive','San Bernardino CA 92410'
Soccer_for_the_City,Merchant,Soccer_for_the_City,'Soccer for the City','San Bernardino CA 92410'
Sprint,Merchant,Sprint,'945 Kinney Street','San Bernardino CA 92410'
Starbucks,Merchant,Starbucks,'3810 Apple Lane','San Bernardino CA 92410'
Subway,Merchant,Subway,'3778 Tenmile Road','San Bernardino CA 92410'
Apple_Store,Merchant,Apple_Store,'349 Bel Meadow Drive','Kansas City MO 64105'
Urban_Outfitters,Merchant,Urban_Outfitters,'99 Strother Street','Kansas City MO 64105'
RadioShack,Merchant,RadioShack,'3306 Douglas Dairy Road','Kansas City MO 64105'
Macys,Merchant, Macys,'2912 Nutter Street','Kansas City MO 64105'
